candle_open_time,close_price,rsi_14,macd_histogram,adx_14,plus_di,minus_di,ema_50,ema_200,vwap,cvd_delta,structure_trend,avg_funding_rate,macro_regime,sentiment_classification,onchain_sopr,onchain_mvrv,onchain_lth_net_position_change_btc,onchain_stablecoin_supply,onchain_whale_addr_count,close_price_fwd_24h
2026-01-02T00:00:00+00:00,89951.4,53.89531135035065,427.57251039362995,18.10077205239794,21.964924553053965,12.721496238236735,91564.75484012268,101639.05450138937,87819.53851667674,-548.7080000000133,bullish,4.813e-05,Neutral,Fear,0.9984,1.6061,66109.93255834,266836440912.62003,86.0,90595.8
2026-01-03T00:00:00+00:00,90595.8,56.0859074527339,521.347089804222,18.711327646244662,21.072307213875526,12.204516173264711,91526.75661109826,101529.17137202232,87842.5081602395,1140.2589999999982,bullish,9.488e-05,Neutral,Extreme Fear,1.0003,1.6242,-62203.86589924,266591647450.68997,85.0,91497.1
2026-01-04T00:00:00+00:00,91497.1,59.01882684087488,618.115644833254,19.737280481689844,23.433388413444984,11.785017736145425,91525.59360674147,101429.34976633056,88013.98520798783,1031.5250000000087,bullish,8.893e-05,Neutral,Fear,1.0008,1.6348,14306.17076378,266718625425.49,85.0,93822.4
2026-01-05T00:00:00+00:00,93822.4,65.4331436013172,801.1555409097164,21.69015551403112,29.702510521300358,10.687765726313152,91615.66444569279,101353.65872387952,88507.91378947087,4702.617999999988,bullish,7.723e-05,Risk-On,Fear,1.0022,1.6477,-3100.9797069,266766691771.43002,86.0,93708.0
2026-01-06T00:00:00+00:00,93708.0,64.89498674143042,871.1514384389245,23.29530407131693,27.053824399260357,10.478646347954346,91697.7168203715,101277.58251767178,88994.9699361688,1021.4020000000019,bullish,2.691e-05,Mixed,Fear,1.0078,1.6931,-21853.57347563,266933577606.30002,85.0,91328.0
2026-01-07T00:00:00+00:00,91328.0,54.79761456136436,720.0534176043305,24.33411737496184,24.77302434916215,11.171925927467223,91683.2181215334,101178.58169660042,89453.50434882627,-2387.4219999999914,bullish,2.885e-05,Neutral,Fear,1.0047,1.6854,22326.83417412,267176741688.27,85.0,91059.8
2026-01-08T00:00:00+00:00,91059.8,53.78206484765165,571.4278150296664,24.28812932562771,23.11793650380654,14.262422936410477,91658.7703520615,101077.89730160938,89701.86896928897,394.10800000000745,bullish,6.436e-05,Neutral,Fear,1.0032,1.6448,-55782.13624949,267040720573.50998,86.0,90603.6
2026-01-09T00:00:00+00:00,90603.6,52.01619258215559,418.84295562463194,24.38584072089279,22.524378789095405,13.326456603862768,91617.3911225689,100973.67543791179,89788.68469091272,-416.67499999998836,bullish,5.643e-05,Risk-On,Extreme Fear,0.9955,1.6493,134356.67146266,266547634877.66,86.0,90469.6
2026-01-10T00:00:00+00:00,90469.6,51.48149628640668,291.3826846693686,24.47657273078179,22.22670483540747,13.150339026411842,91572.37970599756,100869.15727435048,89838.202328998,-1229.6690000000017,bullish,6.235e-05,Risk-On,Fear,0.9949,1.6326,-105588.35194959,266180996532.41003,86.0,90964.4
2026-01-11T00:00:00+00:00,90964.4,53.386896504091546,225.81612396136507,24.767999451039355,22.880643389946894,12.715588707018782,91548.5373645859,100770.60247560072,89916.96243115934,-957.6519999999946,bullish,1.667e-05,Risk-On,Fear,1.0004,1.6298,2979.01448406,265948253951.41998,86.0,91252.6
2026-01-12T00:00:00+00:00,91252.6,54.50753931358315,188.7810392427109,25.563779562174517,24.96563910384238,11.773139953301467,91536.93197773941,100675.8959833062,90160.11392516951,-3413.1749999999884,bullish,4.65e-05,Neutral,Fear,0.9946,1.6379,-1724.10778275,266031456395.13,86.0,95375.2
2026-01-13T00:00:00+00:00,95375.2,66.80248617231501,415.842551233682,27.593119439404752,33.017649873554674,9.869505802971261,91687.45229233787,100623.15273969121,90628.33527398444,10844.95199999999,bullish,1.29e-06,Neutral,Neutral,0.9986,1.6442,10393.2904767,265793396335.53998,86.0,96907.9
2026-01-14T00:00:00+00:00,96907.9,70.0439583285383,630.3025971690995,29.704359291139692,32.76612010778248,8.934192430182945,91892.17573185403,100586.18505073906,91133.21831822628,2528.618999999977,bullish,-3.67e-06,Neutral,Greed,1.0081,1.7173,9056.20351461,265649710572.27002,85.0,95567.3
2026-01-15T00:00:00+00:00,95567.3,64.14436611558409,640.8180577621598,31.664796296322134,30.906064261190412,8.427019264435033,92036.29825217348,100536.24589600535,91630.10799938507,2744.8949999999895,bullish,7.34e-05,Neutral,Neutral,1.0089,1.7438,2811.93595991,266387568719.62,85.0,95503.7
2026-01-16T00:00:00+00:00,95503.7,63.869521294589255,602.9883682229025,32.81663968070823,29.522636884931458,10.429344026261775,92172.27479130393,100486.17081246301,91816.56720328143,-4538.799000000014,bullish,-1.78e-06,Neutral,Neutral,1.0051,1.7208,2560.65166559,267139506189.03995,85.0,95107.9
2026-01-17T00:00:00+00:00,95107.9,62.08660756973299,514.265409634732,33.886208537638176,28.957082968186942,10.229553052775293,92287.39734850771,100432.6556800007,91929.27093010918,-1171.8269999999975,bullish,2.976e-05,Neutral,Neutral,1.0024,1.7148,-3406.89487726,267009272867.48996,85.0,93614.0
2026-01-18T00:00:00+00:00,93614.0,55.75975198819804,327.04424853819046,33.77703744607395,27.264022319885857,13.933428210982129,92339.42098189957,100364.80835980168,92293.24743889947,-1482.078999999998,bullish,6.571e-05,Neutral,Fear,1.0059,1.7084,17374.80077887,267315955529.21002,85.0,92589.6
2026-01-19T00:00:00+00:00,92589.6,51.85734137409309,117.11775813537861,32.52982981359515,25.74777926943936,18.52429054329139,92349.23192378586,100287.44310249022,92529.5117878641,-699.2700000000041,bullish,2.494e-05,Neutral,Fear,1.0033,1.7019,73536.00371447,267376602763.95,85.0,88390.6
2026-01-20T00:00:00+00:00,88390.6,39.617835967020085,-298.8977899041188,30.954394383334158,22.063602705935573,27.226072022968985,92193.99145618643,100169.06655420674,92489.5046186731,-9807.49000000002,bearish,5.652e-05,Mixed,Extreme Fear,0.9991,1.662,-73500.03106989,267390387454.54004,85.0,89411.4
2026-01-21T00:00:00+00:00,89411.4,43.13184009235263,-488.48105408098684,29.71343644551523,19.99595010600653,26.28078586924233,92084.8702226105,100062.02509595593,92292.91592359662,-2990.0169999999925,bearish,2.41e-05,Mixed,Extreme Fear,0.9912,1.5864,37654.76546788,267128341616.90002,85.0,89518.5
2026-01-22T00:00:00+00:00,89518.5,43.50333247898222,-583.3995337738322,28.56111836039766,18.94685669585725,24.90195670019552,91984.22825309636,99957.11439848374,92351.18896263833,-949.0069999999978,bearish,9.419e-05,Mixed,Extreme Fear,0.9928,1.6067,-9898.21221033,266325722667.05,85.0,89558.7
2026-01-23T00:00:00+00:00,89558.7,43.65212446959909,-616.9478931252158,27.031772623766226,19.964114019215902,23.038952870831476,91889.10949807298,99853.64758854859,92274.5849142708,-1266.0600000000122,bearish,6.968e-05,Mixed,Extreme Fear,1.0011,1.6103,24257.99123375,265778989120.74,85.0,89180.7
2026-01-24T00:00:00+00:00,89180.7,42.51820535125659,-635.55438751452,25.611665868322753,19.505914036277538,22.51018170662294,91782.89736089366,99747.44910508045,92268.41913117481,-782.9010000000017,bearish,3.901e-05,Mixed,Extreme Fear,0.9501,1.6162,-7993.80024831,264940211782.94003,85.0,86628.9
2026-01-25T00:00:00+00:00,86628.9,35.76415651809259,-781.0985078342002,25.55209575549339,17.673225021311882,29.316088865656724,91580.77981732921,99616.91627816422,91939.73347260672,-6097.72099999999,bearish,4.067e-05,Mixed,Extreme Fear,0.9984,1.6129,46458.70337284,264029158617.58,85.0,88300.6
